,RTL_STORE_CD,RTL_FIPS_COUNTY_DSC,RTL_PREMISE_TYPE_CD,RTL_CHANNEL_DSC,RTL_SUBCHANNEL_DSC,RTL_BEER_FLAG,RTL_LIQUOR_FLG,BEERTYPE
2280,100301261,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2281,205605289,WASHINGTON,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2282,201437776,CACHE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2283,201690052,UTAH,ON,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,Y,Y,LowPoint
2284,100685652,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2285,102491574,WASATCH,ON,RECREATION,GOLF/COUNTRY CLUB,Y,Y,LowPoint
2286,107412261,RICH,ON,DINING,CASUAL DINING,Y,N,LowPoint
2287,100530249,SALT LAKE,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
2288,301876306,IRON,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2289,100181998,WEBER,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
2290,100577892,WEBER,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
2291,101674090,GRAND,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2292,100645172,CARBON,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2293,101982239,WASATCH,ON,LODGING,RESORT/CONVENTION,Y,Y,LowPoint
2294,102020051,DAVIS,ON,DINING,FAST CASUAL,Y,N,LowPoint
2295,201674076,SALT LAKE,ON,EXTENDED MASTER ON-PREMISE,RESTAURANT NA,N,N,LowPoint
2296,100391433,BEAVER,OFF,GROCERY,SUPERETTE,Y,N,LowPoint
2297,100971441,MILLARD,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
