,RTL_STORE_CD,RTL_FIPS_COUNTY_DSC,RTL_PREMISE_TYPE_CD,RTL_CHANNEL_DSC,RTL_SUBCHANNEL_DSC,RTL_BEER_FLAG,RTL_LIQUOR_FLG,BEERTYPE,COUNTY_ALLEN,COUNTY_ANDERSON,COUNTY_ATCHISON,COUNTY_ATKINSON,COUNTY_BARBER,COUNTY_BARTON,COUNTY_BOURBON,COUNTY_BROWN,COUNTY_BUTLER,COUNTY_CHASE,COUNTY_CHAUTAUQUA,COUNTY_CHEROKEE,COUNTY_CHEYENNE,COUNTY_CLARK,COUNTY_CLAY,COUNTY_CLOUD,COUNTY_COFFEY,COUNTY_COMANCHE,COUNTY_COWLEY,COUNTY_CRAWFORD,COUNTY_DECATUR,COUNTY_DICKINSON,COUNTY_DONIPHAN,COUNTY_DOUGLAS,COUNTY_EDWARDS,COUNTY_ELK,COUNTY_ELLIS,COUNTY_ELLSWORTH,COUNTY_FINNEY,COUNTY_FORD,COUNTY_FRANKLIN,COUNTY_GEARY,COUNTY_GOVE,COUNTY_GRAHAM,COUNTY_GRANT,COUNTY_GRAY,COUNTY_GREELEY,COUNTY_GREENWOOD,COUNTY_HAMILTON,COUNTY_HARPER,COUNTY_HARVEY,COUNTY_HASKELL,COUNTY_HODGEMAN,COUNTY_JACKSON,COUNTY_JEFFERSON,COUNTY_JEWELL,COUNTY_JOHNSON,COUNTY_KEARNY,COUNTY_KINGMAN,COUNTY_KIOWA,COUNTY_LABETTE,COUNTY_LANE,COUNTY_LEAVENWORTH,COUNTY_LINCOLN,COUNTY_LINN,COUNTY_LOGAN,COUNTY_LYON,COUNTY_MARION,COUNTY_MARSHALL,COUNTY_MCPHERSON,COUNTY_MEADE,COUNTY_MIAMI,COUNTY_MITCHELL,COUNTY_MONTGOMERY,COUNTY_MORRIS,COUNTY_MORTON,COUNTY_NEMAHA,COUNTY_NEOSHO,COUNTY_NESS,COUNTY_NORTON,COUNTY_OSAGE,COUNTY_OSBORNE,COUNTY_OTTAWA,COUNTY_PAWNEE,COUNTY_PHILLIPS,COUNTY_POTTAWATOMIE,COUNTY_PRATT,COUNTY_RAWLINS,COUNTY_RENO,COUNTY_REPUBLIC,COUNTY_RICE,COUNTY_RILEY,COUNTY_ROOKS,COUNTY_RUSH,COUNTY_RUSSELL,COUNTY_SALINE,COUNTY_SCOTT,COUNTY_SEDGWICK,COUNTY_SEWARD,COUNTY_SHAWNEE,COUNTY_SHERIDAN,COUNTY_SHERMAN,COUNTY_SMITH,COUNTY_STAFFORD,COUNTY_STANTON,COUNTY_STEVENS,COUNTY_SUMNER,COUNTY_THOMAS,COUNTY_TREGO,COUNTY_UNKNOWN,COUNTY_WABAUNSEE,COUNTY_WALLACE,COUNTY_WASHINGTON,COUNTY_WICHITA,COUNTY_WILSON,COUNTY_WOODSON,COUNTY_WYANDOTTE,PREMISE_NR,PREMISE_OFF,PREMISE_ON,CHANNEL_BAR/NIGHTCLUB,CHANNEL_CATERER,CHANNEL_CIGARETTE OUTLET,CHANNEL_CONVENIENCE STORE,CHANNEL_DINING,CHANNEL_DISTRIBUTOR/SUB-DISTRIBUTOR,CHANNEL_DRUG,CHANNEL_EXTENDED MASTER OFF-PREMISE,CHANNEL_EXTENDED MASTER ON-PREMISE,CHANNEL_GROCERY,CHANNEL_LIQUOR,CHANNEL_LODGING,CHANNEL_MASS MERCHANDISER,CHANNEL_MILITARY OFF-PREMISE,CHANNEL_MILITARY ON-PREMISE,CHANNEL_NON RETAIL,CHANNEL_RECREATION,CHANNEL_UNKNOWN,CHANNEL_WHOLESALE CLUB,SUBCHANNEL_ADULT ENTERTAINMENT,SUBCHANNEL_ATHLETIC STORE,SUBCHANNEL_AUTO REPAIR SERVICE,SUBCHANNEL_BEER SPECIALTY STORE,SUBCHANNEL_BILLIARD/BOWLING/ARCADE,SUBCHANNEL_CAMPGROUND,SUBCHANNEL_CASINO/GAMBLING,SUBCHANNEL_CASUAL DINING,SUBCHANNEL_CASUAL NIGHTCLUB,SUBCHANNEL_CATERING,SUBCHANNEL_CLIENT INTERNAL,SUBCHANNEL_CONVENTIONAL CIGARETTE OUTLET,SUBCHANNEL_CONVENTIONAL CLUB,SUBCHANNEL_CONVENTIONAL CONVENIENCE,SUBCHANNEL_CONVENTIONAL DRUG,SUBCHANNEL_CONVENTIONAL LIQUOR,SUBCHANNEL_CONVENTIONAL MASS MERCH,SUBCHANNEL_COUNTRY WESTERN,SUBCHANNEL_CRUISE/YACHT,SUBCHANNEL_DELI,SUBCHANNEL_DISTRIBUTOR/SUB-DISTRIBUTOR,SUBCHANNEL_DOLLAR STORE,SUBCHANNEL_ETHNIC MARKETS,SUBCHANNEL_FAST CASUAL,SUBCHANNEL_FINE DINING,SUBCHANNEL_FOOD SERVICE,SUBCHANNEL_FULL SERVICE LODGING,SUBCHANNEL_GAS STATION/KIOSK,SUBCHANNEL_GOLF/COUNTRY CLUB,SUBCHANNEL_HOTEL NA,SUBCHANNEL_INSTITUTION,SUBCHANNEL_IRISH PUB,SUBCHANNEL_LIQUOR SUPER STORE,SUBCHANNEL_MARINA,SUBCHANNEL_MEAT/FISH/FRUIT/BAKERY,SUBCHANNEL_MILITARY BAR/NIGHTCLUB,SUBCHANNEL_MILITARY CONVENIENCE STORE,SUBCHANNEL_MILITARY EXCHANGE,SUBCHANNEL_MILITARY FOOD SERVICE,SUBCHANNEL_MILITARY LIQUOR STORE,SUBCHANNEL_MILITARY RECREATION,SUBCHANNEL_NEIGHBORHOOD BAR,SUBCHANNEL_OFFICE BUILDING,SUBCHANNEL_OTHER ENTERTAINMENT,SUBCHANNEL_OTHER OFF-PREMISE,SUBCHANNEL_OTHER ON-PREMISE,SUBCHANNEL_POLISHED CASUAL,SUBCHANNEL_PREMIUM BAR,SUBCHANNEL_PRIVATE CLUB,SUBCHANNEL_QUICK SERVICE RESTAURANT,SUBCHANNEL_RESIDENTIAL ADDRESS,SUBCHANNEL_RESORT/CONVENTION,SUBCHANNEL_RESTAURANT NA,SUBCHANNEL_SMALL GROCERY,SUBCHANNEL_SPECIAL EVENTS,SUBCHANNEL_SPORTING CLUB NA,SUBCHANNEL_SPORTS BAR,SUBCHANNEL_STADIUM/ARENA/CONVENTION,SUBCHANNEL_SUPERCENTER,SUBCHANNEL_SUPERETTE,SUBCHANNEL_SUPERMARKET-CONVENTIONAL,SUBCHANNEL_SUPERMARKET-LIMITED ASSORTMENT,SUBCHANNEL_SUPERMARKET-NATURAL/GOURMET FOODS,SUBCHANNEL_THEATER,SUBCHANNEL_UNKNOWN,SUBCHANNEL_WINE SPECIALTY STORE,BEER_LICENSE_N,BEER_LICENSE_U,BEER_LICENSE_Y,LIQUOR_LICENSE_N,LIQUOR_LICENSE_U,LIQUOR_LICENSE_Y,COUNTY,STATE,STATUS,Prediction,PREDICTION
0,101403888,SEDGWICK,OFF,LIQUOR,CONVENTIONAL LIQUOR,Y,Y,NonLowPoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,SEDGWICK, KANSAS,WET,,LowPoint
1,100091604,SALINE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,SALINE, KANSAS,WET,,LowPoint
2,200697901,SEDGWICK,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,SEDGWICK, KANSAS,WET,,LowPoint
3,100091143,HARPER,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,HARPER, KANSAS,MIXED,,LowPoint
4,107381463,DOUGLAS,OFF,GROCERY,SUPERMARKET-NATURAL/GOURMET FOODS,Y,N,LowPoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,DOUGLAS, KANSAS,WET,,LowPoint
5,201953385,NEOSHO,ON,DINING,CASUAL DINING,Y,Y,LowPoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NEOSHO, KANSAS,MIXED,,NonLowPoint
6,100091590,LABETTE,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,LABETTE, KANSAS,MIXED,,LowPoint
7,201403873,PHILLIPS,OFF,LIQUOR,CONVENTIONAL LIQUOR,Y,Y,NonLowPoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,PHILLIPS, KANSAS,WET,,LowPoint
8,201644381,STEVENS,ON,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,Y,Y,LowPoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,STEVENS, KANSAS,WET,,NonLowPoint
9,201852636,SEDGWICK,OFF,CONVENIENCE STORE,GAS STATION/KIOSK,Y,N,LowPoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,SEDGWICK, KANSAS,WET,,LowPoint
