"RTL_STORE_CD","BEERTYPE"
"201397510","NonLowPoint"
"107509346","NonLowPoint"
"105205257","NonLowPoint"
"105192856","NonLowPoint"
"102018120","NonLowPoint"
"101617700","NonLowPoint"
"105196679","NonLowPoint"
"105206570","NonLowPoint"
"102598932","NonLowPoint"
"105196295","NonLowPoint"
"107346249","NonLowPoint"
"200902186","NonLowPoint"
"103089760","NonLowPoint"
"101944631","NonLowPoint"
"107360060","NonLowPoint"
"105524824","NonLowPoint"
"107390947","NonLowPoint"
"101638373","NonLowPoint"
"105201611","NonLowPoint"
"100763072","NonLowPoint"
"102708844","NonLowPoint"
"101397319","NonLowPoint"
"101881643","NonLowPoint"
"101424211","NonLowPoint"
"105212106","NonLowPoint"
"105201138","NonLowPoint"
"101961081","NonLowPoint"
"107301262","NonLowPoint"
"205206463","NonLowPoint"
"201939386","NonLowPoint"
"107275120","NonLowPoint"
"202226602","NonLowPoint"
"100792785","NonLowPoint"
"401616938","NonLowPoint"
"207393451","NonLowPoint"
"107474095","NonLowPoint"
"100793670","NonLowPoint"
"107340615","NonLowPoint"
"101397584","NonLowPoint"
"107369909","NonLowPoint"
"105207241","NonLowPoint"
"105194353","NonLowPoint"
"103880273","NonLowPoint"
"101749657","NonLowPoint"
"107170438","NonLowPoint"
"102054523","NonLowPoint"
"105212291","NonLowPoint"
"107342260","NonLowPoint"
"107529692","NonLowPoint"
"100766410","NonLowPoint"
"101925273","NonLowPoint"
"201643543","NonLowPoint"
"101397257","NonLowPoint"
"100764936","NonLowPoint"
"101690104","NonLowPoint"
"102082979","NonLowPoint"
"107331363","NonLowPoint"
"101853843","NonLowPoint"
"105204515","NonLowPoint"
"305194330","NonLowPoint"
"201397630","NonLowPoint"
"201424275","NonLowPoint"
"105204626","NonLowPoint"
"101397375","NonLowPoint"
"207300219","NonLowPoint"
"101610240","NonLowPoint"
"201397561","NonLowPoint"
"105207275","NonLowPoint"
"107530615","NonLowPoint"
"107090371","NonLowPoint"
"105194230","NonLowPoint"
"207348000","NonLowPoint"
"107434946","NonLowPoint"
"203749356","NonLowPoint"
"105208166","NonLowPoint"
"104001902","NonLowPoint"
"100793719","NonLowPoint"
"205194679","NonLowPoint"
"101933824","NonLowPoint"
"105545263","NonLowPoint"
"105204475","NonLowPoint"
"100110506","NonLowPoint"
"105196669","NonLowPoint"
"101955388","NonLowPoint"
"101598101","NonLowPoint"
"105194748","NonLowPoint"
"107038118","NonLowPoint"
"100765770","NonLowPoint"
"101397462","NonLowPoint"
"105204755","NonLowPoint"
"101942053","NonLowPoint"
"105206672","NonLowPoint"
"205202781","NonLowPoint"
"201677486","NonLowPoint"
"105196450","NonLowPoint"
"101610478","NonLowPoint"
"102079169","NonLowPoint"
"101586322","NonLowPoint"
"107049239","NonLowPoint"
"103770412","NonLowPoint"
"100792287","NonLowPoint"
"103186046","NonLowPoint"
"103091066","NonLowPoint"
"101695777","NonLowPoint"
"101476967","NonLowPoint"
"107016490","NonLowPoint"
"205194036","NonLowPoint"
"105206288","NonLowPoint"
"201866642","NonLowPoint"
"101833131","NonLowPoint"
"101932182","NonLowPoint"
"201397370","NonLowPoint"
"102067648","NonLowPoint"
"103516306","NonLowPoint"
"102956360","NonLowPoint"
"105210739","NonLowPoint"
"102260821","NonLowPoint"
"105205219","NonLowPoint"
"105212258","NonLowPoint"
"101927550","NonLowPoint"
"103782890","NonLowPoint"
"202255748","NonLowPoint"
"101856993","NonLowPoint"
"100250321","NonLowPoint"
"102124678","NonLowPoint"
"103624062","NonLowPoint"
"101851310","NonLowPoint"
"100792522","NonLowPoint"
"100775136","NonLowPoint"
"103563071","NonLowPoint"
"103924272","NonLowPoint"
"201796253","NonLowPoint"
"105213176","NonLowPoint"
"101606117","NonLowPoint"
"101964082","NonLowPoint"
"105530989","NonLowPoint"
"105208132","NonLowPoint"
"105201551","NonLowPoint"
"102337561","NonLowPoint"
"105210985","NonLowPoint"
"102158360","NonLowPoint"
"100793118","NonLowPoint"
"105202844","NonLowPoint"
"102347463","NonLowPoint"
"305196597","NonLowPoint"
"105204426","NonLowPoint"
"105212432","NonLowPoint"
"105204750","NonLowPoint"
"107402577","NonLowPoint"
"105207066","NonLowPoint"
"107305713","NonLowPoint"
"107535699","NonLowPoint"
"205194097","NonLowPoint"
"101423415","NonLowPoint"
"103805926","NonLowPoint"
"201610494","NonLowPoint"
"102025340","NonLowPoint"
"101631130","NonLowPoint"
"105202101","NonLowPoint"
"105193781","NonLowPoint"
"107506920","NonLowPoint"
"101840786","NonLowPoint"
"105204765","NonLowPoint"
"105202740","NonLowPoint"
"202579895","NonLowPoint"
"101397478","NonLowPoint"
"101765271","NonLowPoint"
"105206476","NonLowPoint"
"105210782","NonLowPoint"
"105202784","NonLowPoint"
"105207086","NonLowPoint"
"107269773","NonLowPoint"
"101964128","NonLowPoint"
"107058688","NonLowPoint"
"202037493","NonLowPoint"
"107050381","NonLowPoint"
"100898140","NonLowPoint"
"301961049","NonLowPoint"
"202173390","NonLowPoint"
"101655443","NonLowPoint"
"105213470","NonLowPoint"
"105192256","NonLowPoint"
"107462232","NonLowPoint"
"100793010","NonLowPoint"
"201423536","NonLowPoint"
"107397384","NonLowPoint"
"201695783","NonLowPoint"
"105202660","NonLowPoint"
"205206465","NonLowPoint"
"102042880","NonLowPoint"
"107270362","NonLowPoint"
"102049316","NonLowPoint"
"201397261","NonLowPoint"
"101423404","NonLowPoint"
"105212393","NonLowPoint"
"107361912","NonLowPoint"
"107287067","NonLowPoint"
"105196793","NonLowPoint"
"103639191","NonLowPoint"
"107042568","NonLowPoint"
"103676494","NonLowPoint"
"105194233","NonLowPoint"
"100793652","NonLowPoint"
"101955179","NonLowPoint"
"101881292","NonLowPoint"
"101397315","NonLowPoint"
"107035741","NonLowPoint"
"100764086","NonLowPoint"
